id,customer_id,vendor_id,order_date,status,total_amount,order_month,order_year
1,146,31,2024-09-16 02:07:56,delivered,44102.83,9,2024
2,95,4,2024-05-08 19:27:12,shipped,94112.25,5,2024
3,245,8,2025-10-30 03:31:51,pending,40130.67,10,2025
4,38,37,2025-07-23 15:55:37,pending,15257.53,7,2025
5,416,37,2024-10-21 08:18:29,shipped,8609.57,10,2024
6,128,8,2025-05-04 02:34:43,cancelled,76467.9,5,2025
7,311,39,2025-02-15 01:46:30,cancelled,22646.14,2,2025
8,268,25,2024-06-07 00:53:26,delivered,90859.59,6,2024
9,153,38,2025-12-25 20:21:08,delivered,30607.49,12,2025
10,318,4,2025-06-12 23:14:36,cancelled,96014.87,6,2025
11,51,49,2025-08-31 20:36:38,processing,62588.95,8,2025
12,136,43,2024-12-14 03:08:32,pending,15790.0,12,2024
13,89,36,2025-05-12 05:24:38,pending,15737.61,5,2025
14,210,29,2025-06-07 19:59:12,cancelled,47044.26,6,2025
15,17,15,2026-01-27 02:10:32,shipped,70724.89,1,2026
16,360,30,2026-01-09 15:15:48,pending,68769.75,1,2026
17,474,17,2025-04-03 02:19:03,cancelled,66152.19,4,2025
18,479,13,2024-05-01 20:40:55,delivered,11566.15,5,2024
19,116,42,2024-05-17 21:08:55,processing,90850.3,5,2024
20,424,10,2025-01-07 15:21:21,pending,6057.84,1,2025
21,406,20,2024-06-01 15:33:13,cancelled,74920.88,6,2024
22,292,19,2025-01-06 10:09:14,delivered,12522.93,1,2025
23,353,20,2025-12-21 23:52:45,delivered,94273.36,12,2025
24,257,35,2025-10-31 03:15:38,delivered,43832.11,10,2025
25,307,3,2024-05-22 08:44:37,delivered,73479.94,5,2024
26,310,17,2025-02-28 01:50:14,pending,9223.56,2,2025
27,493,44,2024-07-19 21:47:25,cancelled,58753.58,7,2024
28,11,49,2024-09-30 12:35:24,shipped,57667.07,9,2024
29,391,49,2026-01-06 00:07:35,processing,47103.03,1,2026
30,334,29,2025-09-08 23:16:09,shipped,18230.77,9,2025
31,300,28,2025-09-19 10:18:09,delivered,96908.62,9,2025
32,241,23,2025-05-30 10:16:47,delivered,33397.51,5,2025
33,344,7,2025-04-10 03:15:57,processing,33047.39,4,2025
34,356,32,2026-04-19 07:10:00,shipped,66292.1,4,2026
35,206,49,2025-09-27 18:54:35,cancelled,3766.04,9,2025
36,46,21,2026-02-24 00:19:38,shipped,32395.05,2,2026
37,497,50,2026-02-27 03:55:29,delivered,86504.57,2,2026
38,423,1,2025-06-09 20:51:08,cancelled,46251.44,6,2025
39,28,13,2024-08-12 19:19:11,cancelled,36241.76,8,2024
40,388,32,2025-11-15 16:49:27,delivered,76023.05,11,2025
41,105,18,2025-07-13 02:24:35,cancelled,13188.22,7,2025
42,148,29,2024-10-17 01:47:25,delivered,12230.47,10,2024
43,499,41,2026-04-07 10:26:21,cancelled,79951.44,4,2026
44,364,11,2024-06-14 01:25:27,shipped,55128.82,6,2024
45,283,27,2024-05-17 18:04:21,pending,22547.6,5,2024
46,431,8,2025-11-11 08:35:09,delivered,94711.37,11,2025
47,332,10,2024-08-07 02:03:38,delivered,93272.04,8,2024
48,150,33,2025-05-03 20:16:51,shipped,41607.49,5,2025
49,248,31,2025-09-08 22:55:34,processing,45732.97,9,2025
50,75,25,2024-05-03 21:58:59,processing,92194.63,5,2024
51,261,48,2025-04-20 02:47:37,processing,86416.29,4,2025
52,142,50,2026-03-24 17:39:46,delivered,34053.54,3,2026
53,404,33,2026-04-02 03:44:20,shipped,82072.89,4,2026
54,145,47,2025-08-12 09:54:51,shipped,83763.84,8,2025
55,297,43,2024-05-24 16:25:42,delivered,86539.53,5,2024
56,229,35,2024-10-24 14:33:13,delivered,34577.88,10,2024
57,283,49,2025-10-15 19:44:35,cancelled,37783.28,10,2025
58,478,21,2025-09-05 00:52:42,processing,98079.39,9,2025
59,123,37,2024-07-29 12:01:22,delivered,23432.89,7,2024
60,398,27,2024-04-30 06:24:35,pending,31885.82,4,2024
61,243,46,2024-08-30 21:34:38,delivered,38669.27,8,2024
62,340,42,2025-08-23 12:17:14,processing,49583.33,8,2025
63,19,9,2024-05-27 21:54:27,cancelled,96538.82,5,2024
64,170,7,2026-03-22 18:45:05,delivered,10061.2,3,2026
65,467,30,2024-12-13 19:48:22,pending,72272.14,12,2024
66,210,42,2026-01-16 14:18:39,processing,7575.34,1,2026
67,401,17,2025-12-26 14:12:34,shipped,62363.61,12,2025
68,204,42,2024-07-03 16:16:54,pending,85191.35,7,2024
69,437,44,2025-04-08 10:31:12,cancelled,38062.94,4,2025
70,163,41,2025-08-06 20:41:58,delivered,87251.06,8,2025
71,19,40,2024-08-29 16:30:13,pending,23553.55,8,2024
72,351,19,2026-01-27 22:42:57,processing,74701.96,1,2026
73,223,7,2025-07-22 04:27:13,pending,44423.49,7,2025
74,356,20,2024-06-07 18:52:45,pending,4694.5,6,2024
75,408,4,2026-01-14 07:31:23,shipped,35910.49,1,2026
76,221,10,2026-01-14 01:22:32,processing,53163.52,1,2026
77,290,44,2024-07-10 16:46:49,processing,17081.37,7,2024
78,41,40,2024-07-16 19:05:11,delivered,62009.07,7,2024
79,124,32,2025-05-10 06:02:58,cancelled,14397.46,5,2025
80,237,41,2025-07-25 05:48:20,shipped,46011.09,7,2025
81,342,1,2025-12-30 20:19:44,delivered,90130.82,12,2025
82,347,35,2025-08-10 06:46:14,processing,7478.8,8,2025
83,484,23,2024-10-07 10:23:34,cancelled,29985.51,10,2024
84,493,28,2024-06-07 03:04:50,shipped,45737.9,6,2024
85,155,13,2026-01-03 22:43:25,delivered,85348.21,1,2026
86,55,16,2024-09-23 12:07:39,delivered,57235.08,9,2024
87,295,19,2025-03-16 03:46:50,shipped,2291.77,3,2025
88,425,43,2025-01-06 03:09:15,delivered,27520.59,1,2025
89,290,44,2026-01-09 10:28:17,pending,91070.63,1,2026
90,382,32,2026-01-28 08:51:10,shipped,77596.52,1,2026
91,118,39,2025-11-13 06:36:19,shipped,21978.55,11,2025
92,98,40,2025-09-28 00:52:31,shipped,67808.67,9,2025
93,370,50,2025-02-25 08:36:24,processing,62861.99,2,2025
94,463,41,2024-12-26 22:48:01,pending,30962.4,12,2024
95,226,3,2024-07-21 22:32:37,cancelled,36549.64,7,2024
96,68,6,2025-10-02 10:57:17,shipped,32739.24,10,2025
97,213,12,2025-07-10 11:25:34,processing,13302.76,7,2025
98,277,24,2025-06-17 02:39:11,cancelled,50229.3,6,2025
99,140,11,2024-08-03 18:37:43,shipped,91413.49,8,2024
100,484,31,2024-12-24 21:29:34,shipped,74681.28,12,2024
101,174,8,2026-01-28 18:45:14,delivered,96293.04,1,2026
102,73,49,2025-12-26 03:06:35,processing,86028.05,12,2025
103,371,44,2024-10-01 17:33:09,delivered,96730.25,10,2024
104,412,36,2025-12-03 16:51:48,shipped,9121.26,12,2025
105,203,1,2024-05-24 12:25:04,shipped,53703.57,5,2024
106,233,24,2025-07-23 18:32:00,shipped,58497.55,7,2025
107,422,41,2024-08-31 19:55:17,shipped,10923.78,8,2024
108,120,31,2025-01-04 16:51:57,pending,61992.73,1,2025
109,483,36,2024-06-07 05:09:52,shipped,91534.07,6,2024
110,114,42,2024-07-21 21:28:55,pending,63576.85,7,2024
111,238,45,2024-11-17 20:21:55,shipped,64959.02,11,2024
112,60,9,2024-08-06 19:28:04,pending,94631.53,8,2024
113,156,32,2025-11-28 12:22:48,pending,9809.48,11,2025
114,455,35,2025-03-07 13:39:38,processing,38925.72,3,2025
115,190,43,2024-08-27 15:19:04,cancelled,41970.76,8,2024
116,381,47,2025-10-11 22:31:02,processing,88552.84,10,2025
117,336,7,2025-01-31 10:34:06,delivered,61603.66,1,2025
118,481,18,2025-06-22 22:53:27,pending,69059.04,6,2025
