id,customer_id,vendor_id,order_date,status,total_amount
1,146,31,2024-09-16 02:07:56,delivered,44102.83
2,95,4,2024-05-08 19:27:12,shipped,94112.25
3,245,8,2025-10-30 03:31:51,pending,40130.67
4,38,37,2025-07-23 15:55:37,pending,15257.53
5,416,37,2024-10-21 08:18:29,shipped,8609.57
6,128,8,2025-05-04 02:34:43,cancelled,76467.9
7,311,39,2025-02-15 01:46:30,cancelled,22646.14
8,268,25,2024-06-07 00:53:26,delivered,90859.59
9,153,38,2025-12-25 20:21:08,delivered,30607.49
10,318,4,2025-06-12 23:14:36,cancelled,96014.87
11,51,49,2025-08-31 20:36:38,processing,62588.95
12,136,43,2024-12-14 03:08:32,pending,15790.0
13,89,36,2025-05-12 05:24:38,pending,15737.61
14,210,29,2025-06-07 19:59:12,cancelled,47044.26
15,17,15,2026-01-27 02:10:32,shipped,70724.89
16,360,30,2026-01-09 15:15:48,pending,68769.75
17,474,17,2025-04-03 02:19:03,cancelled,66152.19
18,479,13,2024-05-01 20:40:55,delivered,11566.15
19,116,42,2024-05-17 21:08:55,processing,90850.3
20,424,10,2025-01-07 15:21:21,pending,6057.84
21,406,20,2024-06-01 15:33:13,cancelled,74920.88
22,292,19,2025-01-06 10:09:14,delivered,12522.93
23,353,20,2025-12-21 23:52:45,delivered,94273.36
24,257,35,2025-10-31 03:15:38,delivered,43832.11
25,307,3,2024-05-22 08:44:37,delivered,73479.94
26,310,17,2025-02-28 01:50:14,pending,9223.56
27,493,44,2024-07-19 21:47:25,cancelled,58753.58
28,11,49,2024-09-30 12:35:24,shipped,57667.07
29,391,49,2026-01-06 00:07:35,processing,47103.03
30,334,29,2025-09-08 23:16:09,shipped,18230.77
31,300,28,2025-09-19 10:18:09,delivered,96908.62
32,241,23,2025-05-30 10:16:47,delivered,33397.51
33,344,7,2025-04-10 03:15:57,processing,33047.39
34,356,32,2026-04-19 07:10:00,shipped,66292.1
35,206,49,2025-09-27 18:54:35,cancelled,3766.04
36,46,21,2026-02-24 00:19:38,shipped,32395.05
37,497,50,2026-02-27 03:55:29,delivered,86504.57
38,423,1,2025-06-09 20:51:08,cancelled,46251.44
39,28,13,2024-08-12 19:19:11,cancelled,36241.76
40,388,32,2025-11-15 16:49:27,delivered,76023.05
41,105,18,2025-07-13 02:24:35,cancelled,13188.22
42,148,29,2024-10-17 01:47:25,delivered,12230.47
43,499,41,2026-04-07 10:26:21,cancelled,79951.44
44,364,11,2024-06-14 01:25:27,shipped,55128.82
45,283,27,2024-05-17 18:04:21,pending,22547.6
46,431,8,2025-11-11 08:35:09,delivered,94711.37
47,332,10,2024-08-07 02:03:38,delivered,93272.04
48,150,33,2025-05-03 20:16:51,shipped,41607.49
49,248,31,2025-09-08 22:55:34,processing,45732.97
50,75,25,2024-05-03 21:58:59,processing,92194.63
51,261,48,2025-04-20 02:47:37,processing,86416.29
52,142,50,2026-03-24 17:39:46,delivered,34053.54
53,404,33,2026-04-02 03:44:20,shipped,82072.89
54,145,47,2025-08-12 09:54:51,shipped,83763.84
55,297,43,2024-05-24 16:25:42,delivered,86539.53
56,229,35,2024-10-24 14:33:13,delivered,34577.88
57,283,49,2025-10-15 19:44:35,cancelled,37783.28
58,478,21,2025-09-05 00:52:42,processing,98079.39
59,123,37,2024-07-29 12:01:22,delivered,23432.89
60,398,27,2024-04-30 06:24:35,pending,31885.82
61,243,46,2024-08-30 21:34:38,delivered,38669.27
62,340,42,2025-08-23 12:17:14,processing,49583.33
63,19,9,2024-05-27 21:54:27,cancelled,96538.82
64,170,7,2026-03-22 18:45:05,delivered,10061.2
65,467,30,2024-12-13 19:48:22,pending,72272.14
66,210,42,2026-01-16 14:18:39,processing,7575.34
67,401,17,2025-12-26 14:12:34,shipped,62363.61
68,204,42,2024-07-03 16:16:54,pending,85191.35
69,437,44,2025-04-08 10:31:12,cancelled,38062.94
70,163,41,2025-08-06 20:41:58,delivered,87251.06
71,19,40,2024-08-29 16:30:13,pending,23553.55
72,351,19,2026-01-27 22:42:57,processing,74701.96
73,223,7,2025-07-22 04:27:13,pending,44423.49
74,356,20,2024-06-07 18:52:45,pending,4694.5
75,408,4,2026-01-14 07:31:23,shipped,35910.49
76,221,10,2026-01-14 01:22:32,processing,53163.52
77,290,44,2024-07-10 16:46:49,processing,17081.37
78,41,40,2024-07-16 19:05:11,delivered,62009.07
79,124,32,2025-05-10 06:02:58,cancelled,14397.46
80,237,41,2025-07-25 05:48:20,shipped,46011.09
81,342,1,2025-12-30 20:19:44,delivered,90130.82
82,347,35,2025-08-10 06:46:14,processing,7478.8
83,484,23,2024-10-07 10:23:34,cancelled,29985.51
84,493,28,2024-06-07 03:04:50,shipped,45737.9
85,155,13,2026-01-03 22:43:25,delivered,85348.21
86,55,16,2024-09-23 12:07:39,delivered,57235.08
87,295,19,2025-03-16 03:46:50,shipped,2291.77
88,425,43,2025-01-06 03:09:15,delivered,27520.59
89,290,44,2026-01-09 10:28:17,pending,91070.63
90,382,32,2026-01-28 08:51:10,shipped,77596.52
91,118,39,2025-11-13 06:36:19,shipped,21978.55
92,98,40,2025-09-28 00:52:31,shipped,67808.67
93,370,50,2025-02-25 08:36:24,processing,62861.99
94,463,41,2024-12-26 22:48:01,pending,30962.4
95,226,3,2024-07-21 22:32:37,cancelled,36549.64
96,68,6,2025-10-02 10:57:17,shipped,32739.24
97,213,12,2025-07-10 11:25:34,processing,13302.76
98,277,24,2025-06-17 02:39:11,cancelled,50229.3
99,140,11,2024-08-03 18:37:43,shipped,91413.49
100,484,31,2024-12-24 21:29:34,shipped,74681.28
101,174,8,2026-01-28 18:45:14,delivered,96293.04
102,73,49,2025-12-26 03:06:35,processing,86028.05
103,371,44,2024-10-01 17:33:09,delivered,96730.25
104,412,36,2025-12-03 16:51:48,shipped,9121.26
105,203,1,2024-05-24 12:25:04,shipped,53703.57
106,233,24,2025-07-23 18:32:00,shipped,58497.55
107,422,41,2024-08-31 19:55:17,shipped,10923.78
108,120,31,2025-01-04 16:51:57,pending,61992.73
109,483,36,2024-06-07 05:09:52,shipped,91534.07
110,114,42,2024-07-21 21:28:55,pending,63576.85
111,238,45,2024-11-17 20:21:55,shipped,64959.02
112,60,9,2024-08-06 19:28:04,pending,94631.53
113,156,32,2025-11-28 12:22:48,pending,9809.48
114,455,35,2025-03-07 13:39:38,processing,38925.72
115,190,43,2024-08-27 15:19:04,cancelled,41970.76
116,381,47,2025-10-11 22:31:02,processing,88552.84
117,336,7,2025-01-31 10:34:06,delivered,61603.66
118,481,18,2025-06-22 22:53:27,pending,69059.04
119,112,29,2024-08-25 06:33:36,delivered,95060.46
120,438,24,2025-03-25 19:51:38,pending,98094.68
121,189,35,2024-10-25 08:29:15,shipped,6148.95
122,142,13,2026-04-08 02:27:56,pending,94906.18
123,422,30,2025-07-15 03:37:29,pending,66310.6
124,329,41,2024-05-20 17:18:19,cancelled,97112.22
125,26,22,2024-07-31 16:50:11,processing,98883.21
126,403,37,2024-07-05 18:09:31,processing,6954.15
127,392,36,2025-12-24 12:54:23,processing,58679.67
128,417,15,2026-02-06 06:41:00,shipped,77459.42
129,404,39,2025-08-23 03:35:05,pending,27799.76
130,75,9,2025-08-07 19:21:36,cancelled,25140.35
131,90,8,2025-02-05 06:12:50,pending,13267.14
132,184,16,2025-12-14 03:17:12,cancelled,32444.77
133,90,17,2024-08-19 15:21:52,pending,12763.18
134,216,34,2024-05-01 05:59:36,pending,74591.96
135,244,29,2026-03-03 08:03:27,shipped,51372.47
136,56,29,2025-05-02 08:21:17,cancelled,22232.82
137,315,3,2024-06-20 19:24:05,cancelled,30232.87
138,330,2,2024-04-24 00:59:16,pending,99858.82
139,434,26,2024-04-24 17:17:17,delivered,68641.14
140,252,46,2024-09-05 11:07:15,delivered,7441.72
141,42,21,2026-04-08 11:04:02,cancelled,14918.55
142,65,18,2024-06-27 08:20:10,cancelled,63344.36
143,281,46,2025-10-20 01:14:05,shipped,38152.35
144,306,34,2025-09-07 08:13:53,shipped,45426.17
145,310,28,2025-07-24 06:33:43,pending,79330.3
146,59,42,2026-03-08 23:55:10,cancelled,72111.91
147,111,28,2024-11-25 11:45:44,delivered,88820.29
148,212,22,2025-03-08 09:34:04,delivered,39933.15
149,374,7,2025-10-09 18:27:56,shipped,42733.72
150,341,17,2026-01-06 05:52:11,shipped,95363.89
151,352,31,2025-12-25 11:03:37,pending,9213.36
152,44,6,2025-12-10 04:14:08,delivered,9746.79
153,379,24,2025-04-23 20:08:19,processing,55681.44
154,301,36,2025-10-08 21:07:04,cancelled,33031.63
155,63,27,2024-07-26 16:04:09,shipped,87373.38
156,482,49,2024-09-26 05:43:41,delivered,86822.41
157,370,4,2024-08-08 05:58:26,shipped,60080.97
158,181,7,2025-08-29 01:50:19,cancelled,50790.51
159,80,43,2024-11-15 13:29:32,delivered,22502.06
160,56,23,2025-05-30 09:40:08,cancelled,36819.35
161,391,18,2025-04-03 23:02:39,cancelled,22693.29
162,220,36,2025-03-05 03:26:37,cancelled,61395.97
163,330,36,2024-10-21 22:38:10,pending,60938.59
164,337,45,2026-04-17 17:52:51,shipped,2992.42
165,140,45,2024-09-01 16:27:03,shipped,92161.6
166,180,1,2025-08-06 07:52:33,processing,86999.28
167,290,43,2025-10-08 08:21:10,delivered,7051.58
168,380,41,2024-05-18 07:55:59,pending,9266.59
169,272,14,2025-07-26 05:56:17,delivered,42041.27
170,175,11,2024-09-05 22:04:29,shipped,31232.57
171,167,50,2025-10-28 04:10:36,cancelled,59662.75
172,453,4,2025-05-12 09:12:14,processing,15825.25
173,317,4,2025-08-07 12:03:30,pending,27283.07
174,339,28,2024-06-26 11:27:25,delivered,60746.89
175,213,18,2025-08-19 06:19:22,processing,75518.82
176,59,23,2026-01-21 01:23:38,delivered,11177.89
177,348,44,2025-12-17 23:01:41,cancelled,48714.61
178,342,20,2024-12-09 01:23:37,pending,22129.79
179,307,4,2025-01-14 07:05:00,pending,20521.87
180,485,14,2025-03-10 09:21:27,processing,76439.67
181,149,21,2024-04-22 15:48:53,pending,872.22
182,383,28,2025-06-26 07:05:54,processing,13005.65
183,273,46,2024-10-19 03:15:09,processing,50076.21
184,427,43,2024-09-15 03:57:06,shipped,7300.34
185,442,48,2024-07-19 09:07:39,pending,43678.34
186,236,5,2025-06-04 22:14:56,shipped,57618.34
187,294,26,2024-07-02 10:17:57,delivered,29022.57
188,208,2,2025-08-12 20:08:44,shipped,17270.13
189,486,40,2025-01-25 04:57:08,delivered,83219.39
190,471,24,2026-02-18 05:05:44,pending,43727.51
191,55,16,2025-12-01 07:04:54,delivered,58928.24
192,269,6,2025-06-12 07:47:08,delivered,87065.39
193,382,22,2025-05-18 07:52:06,processing,33373.56
194,87,5,2024-10-06 10:13:35,cancelled,63359.14
195,272,33,2025-04-14 16:14:11,processing,90601.68
196,179,23,2025-12-08 10:38:20,processing,23703.26
197,75,17,2025-08-18 16:45:46,processing,17432.55
198,79,49,2025-09-13 05:22:19,pending,17796.9
199,396,41,2024-09-27 18:03:01,delivered,46448.91
200,289,49,2024-11-19 19:35:17,cancelled,44945.64
201,474,37,2024-05-30 07:54:04,cancelled,32388.5
202,498,41,2024-09-16 13:48:24,shipped,15180.64
203,35,31,2024-07-15 15:06:50,delivered,63175.37
204,408,18,2025-12-28 20:33:54,cancelled,5711.59
205,260,5,2024-08-13 00:14:14,shipped,46228.07
206,20,4,2025-10-03 08:29:32,shipped,83186.49
207,40,42,2026-02-03 11:51:13,pending,61539.34
208,260,25,2026-03-28 01:55:23,delivered,58074.91
209,489,48,2025-04-22 14:19:09,pending,45028.4
210,415,37,2025-05-10 12:58:18,processing,32220.52
211,244,33,2024-09-03 01:32:14,processing,95776.46
212,231,7,2024-08-21 04:45:27,shipped,98240.32
