id,order_id,method,status,amount,payment_date
1,8736,debit_card,completed,74923.65,2024-09-07 20:41:15
2,8094,cod,completed,31525.27,2025-11-06 18:25:40
3,4841,cod,completed,12913.33,2024-06-25 05:33:53
4,5275,debit_card,failed,11763.84,2024-09-10 07:33:20
5,7634,wallet,completed,55398.51,2024-12-21 17:16:33
6,5426,credit_card,completed,25251.36,2025-07-22 06:25:49
7,5989,debit_card,completed,51127.36,2025-08-18 19:45:30
8,7729,debit_card,pending,98702.44,2024-05-04 17:27:05
9,7232,net_banking,refunded,43571.3,2025-12-05 15:22:03
10,6208,cod,pending,53274.46,2024-08-28 15:16:18
11,8853,wallet,refunded,29992.88,2025-12-22 17:44:25
12,8202,net_banking,pending,72323.6,2024-04-27 05:12:52
13,2120,credit_card,refunded,31409.25,2024-10-05 01:35:55
14,1184,cod,completed,71706.59,2025-08-27 14:47:28
15,6391,wallet,failed,60457.31,2025-02-04 00:21:36
16,1684,upi,completed,39673.63,2025-04-11 16:09:08
17,1562,cod,pending,48128.39,2024-06-21 05:41:51
18,4843,cod,pending,25766.77,2026-03-01 10:47:10
19,4315,debit_card,pending,63593.48,2025-11-02 16:07:13
20,1996,credit_card,refunded,8253.79,2024-10-27 18:02:35
21,4689,upi,completed,59129.02,2024-12-14 04:06:04
22,9790,net_banking,failed,35317.47,2026-01-29 11:10:53
23,7559,upi,failed,93164.19,2025-09-29 23:20:37
24,3499,credit_card,refunded,9758.8,2025-08-31 00:17:13
25,2007,cod,failed,22755.49,2026-03-20 07:24:47
26,3982,upi,refunded,16546.3,2026-02-19 15:40:21
27,7081,wallet,refunded,2946.19,2024-09-14 12:43:31
28,413,credit_card,completed,79203.16,2025-11-20 15:19:33
29,4957,debit_card,failed,30222.64,2025-11-27 04:21:46
30,9825,net_banking,failed,73915.4,2025-11-13 09:59:58
31,8893,cod,failed,81390.92,2024-07-31 04:58:45
32,6773,cod,pending,73392.81,2024-12-16 06:31:17
33,8577,wallet,pending,83803.17,2024-05-30 12:51:54
34,7802,wallet,refunded,5463.37,2025-02-07 17:28:56
35,2144,credit_card,failed,57311.49,2025-10-19 09:48:47
36,2515,net_banking,failed,21813.3,2024-11-28 02:07:04
37,7162,debit_card,completed,49155.32,2024-09-04 08:51:31
38,4727,wallet,pending,95262.55,2024-11-21 18:52:39
39,3452,debit_card,pending,16101.79,2024-08-06 04:21:17
40,3051,debit_card,failed,26477.46,2025-07-01 23:43:52
41,672,net_banking,pending,29054.79,2024-12-20 04:43:59
42,3388,cod,pending,98057.99,2025-03-06 15:49:16
43,8608,debit_card,refunded,55602.0,2024-10-11 14:49:47
44,5074,net_banking,refunded,72333.4,2026-01-27 21:16:57
45,8133,upi,pending,45958.36,2024-09-12 07:46:10
46,3624,net_banking,refunded,41171.9,2024-11-16 23:58:22
47,5788,net_banking,pending,472.81,2026-03-06 09:32:06
48,7362,net_banking,completed,16289.22,2024-09-20 20:26:22
49,9006,debit_card,pending,86559.06,2024-09-03 16:13:53
50,2966,cod,completed,12180.13,2024-12-04 04:33:37
51,3483,wallet,refunded,86534.65,2024-11-06 13:20:01
52,8802,debit_card,refunded,55604.14,2025-10-12 22:02:58
53,4286,net_banking,completed,42723.5,2025-03-26 13:19:47
54,3531,wallet,completed,19836.38,2024-11-10 14:06:07
55,182,upi,failed,64420.31,2024-06-29 21:18:31
56,7060,wallet,completed,66259.52,2025-05-04 14:45:13
57,602,net_banking,refunded,66047.28,2025-01-19 23:09:24
58,6506,credit_card,failed,54353.75,2025-07-12 14:18:05
59,3795,credit_card,completed,20318.22,2025-01-26 12:51:51
60,4336,debit_card,failed,52153.01,2025-01-15 01:49:47
61,4541,wallet,pending,11335.27,2025-12-10 00:39:12
62,8534,cod,failed,98146.55,2025-08-30 15:07:30
63,7095,upi,pending,15486.62,2025-05-30 08:50:46
64,4283,debit_card,pending,3006.02,2025-04-03 09:08:16
65,6371,cod,completed,46821.49,2026-01-23 09:37:30
66,1448,net_banking,pending,30762.28,2025-08-22 05:48:28
67,3695,net_banking,failed,62629.32,2025-10-04 17:58:28
68,8668,credit_card,pending,68960.81,2026-01-25 03:12:08
69,5539,wallet,failed,92579.06,2024-08-29 12:30:02
70,9052,cod,failed,57314.34,2024-05-17 15:20:24
71,4228,debit_card,pending,62304.22,2026-01-27 11:00:35
72,8187,wallet,completed,92147.47,2025-07-17 15:58:12
73,3418,net_banking,completed,90968.04,2025-02-12 16:13:56
74,6454,upi,refunded,17808.88,2024-08-18 01:09:36
75,6550,net_banking,refunded,52014.71,2025-06-10 22:42:54
76,7803,net_banking,failed,56838.81,2025-07-04 20:10:12
77,5913,wallet,refunded,7283.07,2024-09-29 17:39:43
78,5057,credit_card,refunded,25758.18,2025-10-16 12:20:46
79,9759,credit_card,failed,22083.88,2025-03-22 02:14:11
80,9100,credit_card,failed,17997.7,2025-01-13 13:42:32
81,8051,debit_card,completed,20128.35,2025-09-02 21:05:04
82,9944,credit_card,refunded,84967.53,2026-01-08 23:02:59
83,1884,upi,pending,3412.47,2025-09-30 20:21:19
84,1229,credit_card,completed,61017.98,2025-12-28 14:11:52
85,5478,upi,pending,30850.99,2024-11-29 08:10:34
86,3006,cod,completed,41328.55,2024-09-27 05:42:52
87,4115,net_banking,completed,75838.25,2025-01-09 21:20:32
88,4286,wallet,pending,8794.39,2025-10-14 13:06:56
89,8595,net_banking,pending,80042.78,2025-05-15 09:29:16
90,6300,upi,refunded,70433.17,2025-06-21 13:24:04
91,304,upi,pending,34328.44,2026-01-23 16:17:29
92,7885,debit_card,pending,38203.89,2025-11-17 07:36:12
93,9377,net_banking,refunded,66664.04,2025-12-27 01:21:20
94,6343,net_banking,completed,97783.05,2024-11-14 00:12:59
95,9569,cod,refunded,11905.33,2024-06-28 14:27:55
96,2970,debit_card,refunded,18202.31,2025-05-22 18:42:54
97,5007,debit_card,completed,5807.77,2025-12-10 20:00:42
98,8339,net_banking,refunded,98093.49,2024-09-29 18:45:56
99,4374,upi,refunded,10445.48,2024-11-05 16:04:41
100,5965,upi,refunded,61844.44,2024-10-05 15:11:22
101,2572,net_banking,refunded,810.59,2025-04-17 08:57:46
102,1895,cod,failed,30894.62,2024-11-07 17:08:36
103,1571,net_banking,refunded,20639.63,2024-05-13 12:51:25
104,2997,cod,refunded,559.78,2026-04-05 04:26:45
105,9605,net_banking,failed,40689.46,2024-07-17 15:56:13
106,9042,cod,refunded,75457.04,2025-05-25 16:45:26
107,573,wallet,failed,67387.67,2025-09-12 10:49:27
108,7771,debit_card,failed,50145.35,2025-08-22 07:26:04
109,7846,wallet,failed,82944.8,2024-09-10 21:50:47
110,3188,net_banking,failed,27227.04,2025-04-23 05:10:34
111,8130,credit_card,completed,38329.61,2024-08-05 16:58:07
112,2464,net_banking,refunded,83981.75,2025-04-17 00:44:09
113,6952,upi,refunded,80866.68,2025-07-18 21:45:17
114,4323,cod,failed,51872.44,2024-12-25 23:36:39
115,6345,net_banking,failed,81944.55,2025-02-02 06:28:35
116,4344,net_banking,pending,34952.16,2025-07-01 00:02:48
117,3910,upi,refunded,90721.73,2025-02-06 15:22:44
118,5239,cod,pending,71718.42,2025-09-12 10:18:50
119,2126,upi,pending,77487.81,2025-07-20 03:01:19
120,3955,net_banking,refunded,17048.34,2026-03-20 03:36:17
121,92,wallet,failed,67954.68,2024-05-15 09:37:43
122,8589,wallet,refunded,31550.58,2024-12-25 12:04:24
123,3720,cod,failed,33343.34,2025-10-15 19:35:03
124,443,debit_card,refunded,80492.48,2024-07-09 08:45:00
125,5725,upi,pending,77307.94,2025-08-21 00:49:59
126,7898,wallet,pending,37522.29,2025-01-22 20:42:30
127,8718,debit_card,completed,72966.78,2026-02-23 08:05:31
128,6093,net_banking,completed,18734.32,2026-03-19 22:55:44
129,9948,credit_card,completed,40767.47,2024-04-25 05:51:29
130,6223,upi,pending,69693.08,2024-08-20 09:56:48
131,4534,credit_card,refunded,22218.96,2025-03-12 10:13:59
132,3425,credit_card,failed,8827.38,2025-04-23 10:30:34
133,22,cod,refunded,21920.5,2025-01-04 02:06:57
134,4220,credit_card,failed,10425.64,2025-01-05 14:38:27
135,2313,net_banking,failed,51700.88,2025-09-04 08:00:21
136,8733,net_banking,refunded,20676.95,2026-03-21 11:23:16
137,4774,net_banking,refunded,28185.15,2024-07-05 22:37:47
138,6997,upi,refunded,86390.52,2024-09-11 10:38:04
139,612,debit_card,completed,85091.38,2026-03-29 08:57:03
140,2237,net_banking,completed,82241.38,2025-01-22 04:18:40
141,9346,wallet,refunded,26519.19,2024-12-13 00:00:52
142,5500,wallet,completed,78277.7,2024-08-23 12:25:18
143,9431,upi,pending,5431.89,2025-04-16 17:10:27
144,1455,credit_card,completed,62865.7,2025-06-17 19:18:20
145,7147,credit_card,refunded,80438.98,2024-09-10 16:54:37
146,1806,cod,failed,11586.97,2025-11-24 05:45:40
147,4900,wallet,failed,59230.72,2024-05-06 00:04:18
148,7561,net_banking,refunded,20298.24,2025-03-26 02:20:18
149,3217,debit_card,pending,42768.91,2026-01-07 15:36:07
150,4319,upi,completed,88955.7,2025-08-11 01:06:35
151,7327,cod,failed,27032.2,2025-04-08 15:23:13
152,7751,wallet,completed,85515.8,2025-07-24 03:39:30
153,376,upi,completed,41048.45,2025-07-10 11:23:33
154,3043,net_banking,pending,72647.3,2025-10-10 13:00:44
155,8649,net_banking,failed,43328.04,2025-03-22 23:01:23
156,7708,credit_card,refunded,8611.12,2025-11-07 20:36:33
157,8877,cod,pending,94149.82,2025-02-23 06:44:19
158,9826,debit_card,completed,88316.32,2025-04-21 22:38:46
159,6540,credit_card,completed,57041.54,2026-01-26 23:18:25
160,2087,debit_card,refunded,46225.9,2024-10-25 07:26:45
161,5963,wallet,failed,95999.35,2024-11-01 06:57:28
