vendor_id,avg_order_value
6,53756.334435
9,53599.869491
48,53387.774831
42,53061.383611
41,52998.799543
47,52131.548155
18,52051.242935
15,52046.379066
30,52005.110098
39,51808.572700
5,51543.402565
14,51402.711099
24,51265.057268
32,51210.814946
22,51076.175867
13,50951.413069
40,50916.923626
16,50661.157674
20,50643.784433
27,50614.860622
4,50243.102159
12,50220.723732
28,50094.880320
46,50077.945979
10,49981.852961
43,49946.634532
37,49843.308373
49,49526.571187
44,49467.878722
2,49374.075081
17,49032.186417
29,48645.108439
33,48568.198293
11,48508.036766
26,48496.301789
8,48439.070466
7,48413.343862
25,48110.279955
38,48083.602953
1,47928.798627
21,47899.665228
3,47896.109091
45,47695.123455
34,47600.408384
35,47260.689707
31,47074.496111
23,46758.605135
50,45330.717389
36,45247.189271
19,44751.251961
